"014","ﾄﾞﾝﾅｳﾉ","4044","01","000","025","213","642","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","213","510","025","","","0001","","07","007","","","","02","","","","","","","20040520","20180220","20180220","20180220","","","20010716","","20180220","20180220","","","","20180220","","9","","","","","","","","","","","","","","","","","","","07","20180220","","","","","","","","","","","","","","","","","","","20180220","","","ドンナウノ","","ﾄﾞﾝﾅｳﾉ","","WAM（卸）","","WAM（卸）","ｲﾝﾃﾚｸｼｮﾝ"
"015","ﾌﾞﾛﾝｼｪ","4044","01","000","025","213","642","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","213","510","025","0001","200401","0001","","07","007","","0001","","02","","","        ","","","","20040520","20180220","20180220","20180220","20010820","20040117","20010716","","20180220","20180220","        ","20040117","        ","20180220","","1","01","","","","","","","","","","","","","","","","","","07","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","ブロンシエ","","ﾌﾞﾛﾝｼｴ","","WAM（卸）","","WAM（卸）","ｲﾝﾃﾚｸｼｮﾝ"
"016","ﾄﾞﾚｽﾃﾘｱ Ladies 買付け","2006","24","000","016","609","616","00","","20000510","99999999","20000620","143000","20180221","010001","","01","00","","","00","609","512","016","","200302","","0001","81","081","01","","01","01","","","20031105","","","","20040520","20180220","20180220","20180220","","20031105","","20010810","20180220","20180220","20031105","        ","20031105","20180220","","","01","","","","","","","","","","","","","","","","","","22","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","DRESSTERIOR LB","","ドレステリアＬカイツケ","","ﾄﾞﾚｽﾃﾘｱLｶｲﾂｹ","","INT（セレクト）","","INT（セレクト）","ﾄﾞﾚｽﾃﾘｱ"
"017","【廃止】外販","1945","","","894","611","","00","","20100928","","20100928","221508","20180221","010001","","01","","","","","611","501","894","","201002","","","01","030","01","","01","01","","","20101027","","","","","20180220","20180220","20180220","","20101027","","","20180220","20180220","20101027","        ","20101027","20180220","","","","","","","","","","","","","","","","","","","","","01","20180220","","","","","","","","","","","","","","","","","","","20180220","","","","","","","HD(その他)","","W（HD）","ﾌｧｸﾄﾘｰPJT"
"018","ﾙｰｼﾞｭﾙｰACCｾﾚｸｼｮﾝ","4775","","000","595","649","","00","","20010207","","20010207","200550","20180221","010001","","01","00","","","01","649","512","595","","200701","","","81","081","01","","01","01","","","20070524","","","","20040105","20180220","20180220","20180220","","20070524","","","20180220","20180220","20070524","        ","20070524","20180220","","","01","","","","","","","","","","","","","","","","","","22","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","ノ－ブルグ－　　　＃","","","","INT（セレクト）","","INT（セレクト）","ﾙｰｼﾞｭﾙｰ"
"019","旧ECLIPSE","2001","06","000","019","611","619","00","","20000510","99999999","20000620","143000","20180221","010001","","01","00","","","00","611","501","019","","200302","","0001","01","990","01","","01","01","","","20031105","","","","20040520","20180220","20180220","20180220","","20031105","","20010810","20180220","20180220","20031105","        ","20031105","20180220","","","01","01","","","","","","","","","","","","","","","","","01","20180220","20120730","20041118","","","","","","","","","","","","","","","","","20180220","ECLIPSE","導入期","ＥＣＬＩＰＳＥ","","ECLIPSE","","廃止","","W（HD）","【廃止】旧ｴｸﾘﾌﾟｽ"
"020","【廃止】ｼﾞｬｰｼﾞ外販","1945","","","894","611","","00","","20100928","","20100928","221508","20180221","010001","","01","","","","","611","501","894","","201002","","","01","030","01","","01","01","","","20101027","","","","","20180220","20180220","20180220","","20101027","","","20180220","20180220","20101027","        ","20101027","20180220","","","","","","","","","","","","","","","","","","","","","01","20180220","","","","","","","","","","","","","","","","","","","20180220","","","","","","","HD(その他)","","W（HD）","ﾌｧｸﾄﾘｰPJT"
"021","ﾙｲｼｬﾝﾀﾝ","4011","01","000","021","213","621","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","213","510","021","0001","200401","0001","","07","007","","0001","","02","","","        ","","","","20040520","20180220","20180220","20180220","20010529","20040117","20010716","","20180220","20180220","        ","20040117","        ","20180220","","1","01","","","","","","","","","","","","","","","","","","07","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","ルイシヤンタン","","ﾙｲｼﾔﾝﾀﾝ","","WAM（卸）","","WAM（卸）","ﾙｲｼｬﾝﾀﾝ"
"022","ﾚﾃﾞｨｰｽﾊﾞｲｲﾝｸﾞFG","2505","13","000","C78","618","622","00","","20000510","99999999","20000620","143000","20180221","010001","","01","00","","","00","618","514","C78","","201002","","","80","010","01","","01","01","","","20100726","","","","20040520","20180220","20180220","20180220","","20100726","","20010810","20180220","20180220","20100726","        ","20100726","20180220","","","01","","","","","","","","","","","","","","","","","","20","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","NEXTDOOR PJT","","ＮＥＸＴＤＯＯＲ　ＰＪＴ","","NEXTDOOR PJT","","㈱ﾜｰﾙﾄﾞｽﾄｱﾊﾟｰﾄﾅｰｽﾞ","","㈱ﾜｰﾙﾄﾞｽﾄｱﾊﾟｰﾄﾅｰｽﾞ","ﾈｸｽﾄﾄﾞｱ開発"
"023","【廃止】ﾆｯﾄ内販","1945","","","894","611","","00","","20100928","","20100928","221508","20180221","010001","","01","","","","","611","501","894","","201002","","","01","030","01","","01","01","","","20101026","","","","","20180220","20180220","20180220","","20101026","","","20180220","20180220","20101026","        ","20101026","20180220","","","","","","","","","","","","","","","","","","","","","01","20180220","","","","","","","","","","","","","","","","","","","20180220","","","","","","","HD(その他)","","W（HD）","ﾌｧｸﾄﾘｰPJT"
