"1","4","19870101","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","d"
"2","96","19870101","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","d"
"3","560","19890901","99999999","","","","","","","45.00","45.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"4","605","19870101","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","d"
"5","735","19880501","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","d"
"6","739","19950908","99999999","","","","","","","14.00","9.00","","","","","","","","","","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"7","832","19870101","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","d"
"8","915","19891201","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","d"
"9","1268","19891201","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"10","1271","19890301","99999999","","","","","1200000","","15.00","15.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"11","1560","19960209","19970831","16000000","","","","","","3.00","3.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"12","1560","19970901","19980228","900000","","","","","","5.00","5.00","","","","","","","","","","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"13","1560","19980301","99999999","900000","","","","","","3.00","3.00","","","","","","","","","","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"14","1597","19840218","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"15","1690","19940401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"16","1804","19931001","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"17","1818","19950909","19990331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"18","1818","19990401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"19","1936","19910301","19920229","1300000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"20","1936","19920301","99999999","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"21","1963","19920401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","d"
"22","1993","19940401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"23","1995","19890801","19990331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"24","1995","19990401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"25","1999","19940401","19990331","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","2010-05-14 19:48:28","system  ","2012-06-07 11:48:04","13001861","c"
"26","1999","19990401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2012-06-07 11:47:29","13001861","d"
"27","2002","19950826","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"28","2004","19940401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"29","2006","19940401","19990331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"30","2006","19990401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"31","2008","19940401","19990331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"32","2008","19990401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"33","2039","19940401","19990331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"34","2039","19990401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"35","2042","19940401","19990331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"36","2042","19990401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"37","2043","19940401","19990331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"38","2043","19990401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"39","2130","19900201","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","d"
"40","2268","19950301","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"41","2354","19911001","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","d"
"42","2359","19940401","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","a"
"43","2400","19920301","99999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010-05-14 19:48:28","system  ","2010-05-14 19:48:28","system  ","d"
